	Shuffled : 0	Shuffled : 100	Shuffled : 500	Shuffled : 900
0x0	2.0	2.0	2.0	3.0
1x0	0.0	0.0	0.0	0.0
2x0	1.0	2.0	8.0	1.0
3x0	1.0	1.0	1.0	3.0
4x0	2.0	8.0	2.0	8.0
5x0	2.0	2.0	2.0	0.0
6x0	2.0	2.0	5.0	1.0
7x0	0.0	0.0	3.0	0.0
8x0	3.0	3.0	3.0	4.0
9x0	2.0	2.0	2.0	8.0
10x0	2.0	2.0	2.0	0.0
11x0	2.0	2.0	0.0	14.0
12x0	3.0	7.0	6.0	2.0
13x0	5.0	5.0	5.0	2.0
14x0	0.0	0.0	0.0	12.0
15x0	0.0	0.0	0.0	1.0
16x0	3.0	3.0	1.0	2.0
17x0	5.0	5.0	5.0	10.0
18x0	1.0	1.0	1.0	6.0
19x0	1.0	1.0	1.0	1.0
20x0	0.0	0.0	1.0	2.0
21x0	1.0	1.0	1.0	0.0
22x0	1.0	1.0	1.0	8.0
23x0	0.0	0.0	0.0	10.0
24x0	4.0	4.0	4.0	2.0
25x0	1.0	1.0	0.0	1.0
26x0	0.0	0.0	2.0	1.0
27x0	2.0	2.0	2.0	4.0
28x0	3.0	2.0	3.0	2.0
29x0	3.0	3.0	8.0	14.0
0x1	2.0	2.0	2.0	3.0
1x1	1.0	1.0	2.0	2.0
2x1	2.0	2.0	2.0	1.0
3x1	4.0	4.0	4.0	2.0
4x1	3.0	3.0	2.0	2.0
5x1	2.0	2.0	3.0	1.0
6x1	5.0	5.0	2.0	2.0
7x1	0.0	0.0	0.0	1.0
8x1	2.0	2.0	2.0	2.0
9x1	4.0	4.0	4.0	6.0
10x1	2.0	9.0	3.0	0.0
11x1	1.0	1.0	3.0	0.0
12x1	4.0	4.0	4.0	3.0
13x1	2.0	8.0	0.0	7.0
14x1	2.0	2.0	2.0	3.0
15x1	4.0	4.0	4.0	0.0
16x1	6.0	6.0	6.0	4.0
17x1	2.0	2.0	3.0	2.0
18x1	0.0	0.0	0.0	5.0
19x1	3.0	3.0	5.0	6.0
20x1	2.0	2.0	2.0	9.0
21x1	1.0	1.0	1.0	2.0
22x1	3.0	1.0	3.0	3.0
23x1	3.0	3.0	1.0	3.0
24x1	2.0	2.0	1.0	11.0
25x1	2.0	2.0	2.0	7.0
26x1	3.0	2.0	3.0	13.0
27x1	0.0	0.0	1.0	6.0
28x1	2.0	2.0	2.0	3.0
29x1	1.0	1.0	2.0	0.0
0x2	3.0	3.0	1.0	0.0
1x2	0.0	0.0	1.0	0.0
2x2	7.0	2.0	3.0	4.0
3x2	0.0	0.0	0.0	0.0
4x2	0.0	0.0	0.0	3.0
5x2	3.0	1.0	5.0	12.0
6x2	1.0	1.0	1.0	2.0
7x2	1.0	1.0	0.0	2.0
8x2	0.0	0.0	1.0	7.0
9x2	0.0	0.0	2.0	0.0
10x2	1.0	1.0	1.0	4.0
11x2	2.0	2.0	2.0	2.0
