	P0-O	P0-F0-T0.5	P0-F0-T1	P0-F0-T2	P0-F1-T0.5	P0-F1-T1	P0-F1-T2	P0-F2-T0.5	P0-F2-T1	P0-F2-T2	P1-O	P1-F0-T0.5	P1-F0-T1	P1-F0-T2	P1-F1-T0.5	P1-F1-T1	P1-F1-T2	P1-F2-T0.5	P1-F2-T1	P1-F2-T2	P2-O	P2-F0-T0.5	P2-F0-T1	P2-F0-T2	P2-F1-T0.5	P2-F1-T1	P2-F1-T2	P2-F2-T0.5	P2-F2-T1	P2-F2-T2	P3-O	P3-F0-T0.5	P3-F0-T1	P3-F0-T2	P3-F1-T0.5	P3-F1-T1	P3-F1-T2	P3-F2-T0.5	P3-F2-T1	P3-F2-T2	P4-O	P4-F0-T0.5	P4-F0-T1	P4-F0-T2	P4-F1-T0.5	P4-F1-T1	P4-F1-T2	P4-F2-T0.5	P4-F2-T1	P4-F2-T2	P5-O	P5-F0-T0.5	P5-F0-T1	P5-F0-T2	P5-F1-T0.5	P5-F1-T1	P5-F1-T2	P5-F2-T0.5	P5-F2-T1	P5-F2-T2	P6-O	P6-F0-T0.5	P6-F0-T1	P6-F0-T2	P6-F1-T0.5	P6-F1-T1	P6-F1-T2	P6-F2-T0.5	P6-F2-T1	P6-F2-T2	P7-O	P7-F0-T0.5	P7-F0-T1	P7-F0-T2	P7-F1-T0.5	P7-F1-T1	P7-F1-T2	P7-F2-T0.5	P7-F2-T1	P7-F2-T2	P8-O	P8-F0-T0.5	P8-F0-T1	P8-F0-T2	P8-F1-T0.5	P8-F1-T1	P8-F1-T2	P8-F2-T0.5	P8-F2-T1	P8-F2-T2	P9-O	P9-F0-T0.5	P9-F0-T1	P9-F0-T2	P9-F1-T0.5	P9-F1-T1	P9-F1-T2	P9-F2-T0.5	P9-F2-T1	P9-F2-T2
0x0	7.510669377261299	2.7695021130431474	3.788593113265623	6.085319709760795	1.436906915035011	15.801334383357787	9.275646476649994	3.0157448654295553	14.540378233518034	25.985329143975495	68.12205041773521	2.921304551465085	3.8347581740634746	14.808099097883384	9.643691932102406	5.386321382617673	19.09758162434204	4.335688878390468	5.574052937405633	14.306141526770578	50.15527554317186	2.104795181529081	3.3572396816142396	12.563024514502995	4.0867717236456915	62.723292876841526	4.799725956782687	11.160227543205327	4.36368110822556	88.13184201424583	12.559320746375862	1.3478936099112775	4.306045123542979	8.985758854369216	2.434095195869011	3.7528869903043987	88.89413389930596	1.5316920739094766	12.821950835852638	10.217305717670206	63.648195092397785	2.205271008302443	6.9369931442797945	10.103161212717277	2.738991138590824	13.519021454290556	12.807649929563247	9.518532826032963	3.5878260463659344	27.415630523115897	17.425063670225555	12.119252277788513	6.435884224543733	9.100350429748714	1.6149434925577268	17.11459233664118	4.211942265732966	3.0114157212038433	8.073696428213223	78.39614283894663	68.52333984180457	1.7101491560388018	6.376294382398815	7.3072761171889224	9.623744641428752	2.1245795247240276	9.462803316826177	6.4991539702714585	24.03236674446379	26.41189721172085	12.03384096630413	1.256200547212098	4.2049616029873045	4.356369257544184	0.9884582381188871	11.152738043551908	10.752435362179616	3.39381369755981	2.8875299017601646	49.327456717798405	10.141255115502803	13.24764805746732	3.3179362833692863	31.119206177616228	1.0894151566175	2.752227666964766	8.538019321995256	5.167011487630075	6.246619677731013	41.48342659384489	1.3227756730581302	5.6322942706286145	14.10869074456443	5.24004487733438	4.296200533902661	16.270273462018757	7.325013401473898	1.685141892660163	10.233783389255828	5.599906408068117
1x0	7.510669377261299	2.555685260182388	9.62313088956812	51.32081118980284	2.2326921589553166	18.31234066151957	14.244249126123973	4.067126519662795	2.905335417477304	11.561560209236593	68.12205041773521	4.502867586472368	28.974074508215953	25.61817404895899	1.5376687151944828	9.442353403031419	111.39736278888009	11.296228396168855	13.963308188656281	13.053713268905753	50.15527554317186	2.501079323050341	6.913429320583499	5.75979666015314	11.40376186290695	36.95691867281627	21.716541229969454	1.6353096360152313	5.239039940394695	10.877794349960071	12.559320746375862	23.036625247952557	6.791511332019922	5.357680213389067	8.477820350182617	8.635879986700525	15.24438490095657	4.833012016260413	2.667415073805205	4.938259224390489	63.648195092397785	3.6055187071398267	4.390319983222738	11.965376925113668	2.2913374218651383	3.150936535615481	22.63128803479118	8.218001247680487	6.452601702816299	7.518215220287955	17.425063670225555	1.0281082823962093	22.663250763642196	9.899720090478104	8.712531835112777	37.565251563430486	7.582793739868839	4.181139292339255	6.594605747587076	10.611237927077093	68.52333984180457	3.1881471911994077	6.509655830198143	9.083088380398715	1.617819093983724	4.68413587142348	29.779512911163163	2.831922627118647	3.9693455666472555	17.799504429237512	12.03384096630413	2.1912168728558425	4.259532690653989	8.205999862431646	1.962727037082505	2.427154201124424	29.728961819695463	17.623874828920158	3.8294583234893613	29.122947856156483	10.141255115502803	35.01975718872923	3.0484218373753467	28.70819018068811	10.015718097849602	26.62648530502953	10.441921875579384	3.7321918597769557	5.353917279809433	13.574756749439054	1.3227756730581302	1.890489622798934	4.006172185043509	11.639088977351047	2.966806126942024	5.204513226403928	32.71174404844763	17.930368194667597	8.602567817982507	7.822232560212015
2x0	14.979361688248286	2.5018343993595145	24.337714088719423	22.928176750093932	4.584159454428894	20.01652672848775	41.269768793882974	2.73622764746382	10.076886075509025	15.255311808295835	55.698681394440044	2.0073325520144754	11.07809419880029	11.10023069104336	4.435494888269692	3.1579881611222183	94.20072997659398	13.599122365445815	6.988938417531272	9.891777700919977	17.360197987292683	2.4765049792382148	3.156158867880184	72.6756630992709	3.3523348490523843	2.7754982045484615	22.012729839907088	7.382508481239587	3.8437226317758353	24.961564926471343	30.564891262092836	4.118440302034341	10.848504265599027	16.747201891287407	11.893192756989912	6.69180142546526	86.10068873650177	4.604568645354911	4.211036243487322	7.871268301409162	40.6982123993262	2.0996387351020105	5.83265857469699	12.50312233198992	9.350155513664655	8.250018809173756	5.464119345876428	3.532078621847048	4.067518010612026	99.19044680136054	28.12972262119777	0.8060254209721287	6.6825000848581855	6.908298383753274	2.996986491148642	12.234050279911852	8.366563900780646	1.754521206612877	4.224714894525852	6.65608425592636	40.97631415221847	3.933044763033	13.138263204372	9.016326576989158	3.4772924405888506	2.5745450934518574	8.43791356501597	1.1690794968680374	51.14387518759032	6.9871933437905955	9.463350647210875	2.1560881136647203	2.9998974726823304	30.820961850556035	4.380712690672274	47.552257013727825	24.0672153703838	3.06476441164579	3.9065808833510873	7.323221912234022	28.66144339021836	1.6928046455480024	16.152608755547305	27.915270201053698	1.2907266083873574	31.228816927500336	67.06641473842744	4.360735677393412	11.703075177579377	17.48000892876218	1.9720809616238515	8.060572438877696	6.173153312059358	11.632462693007191	21.137403991157754	21.327000188785416	14.82889476124935	1.0543357060295842	9.101322649654751	15.247066134108017
3x0	20.18561915542453	17.92638574051947	6.231498050272039	20.76808864417002	2.935200374143805	5.539004226086295	9.376383886476598	1.9296669251983538	4.30552409497831	10.187128948157705	56.812789604569105	8.307186237593623	7.33943247458945	18.01147034588947	13.393127964292553	3.6337330753201327	11.065415647777368	8.670420527035892	2.5552465189155136	3.503382483961346	4.540255755590141	6.741256747515904	5.126692879754105	42.10752878213733	3.7307286141607046	6.028030710111238	66.3198693171789	21.813759958504665	5.499829461247789	15.466326449857062	36.767120390520915	25.16612366998742	16.24263974063492	28.271319060777174	1.283845652185368	13.088795135671994	14.387563793614271	6.648310539191006	3.7345586282728536	5.278390463777405	12.486916646758516	7.3190450532819025	3.8913844785982317	21.12011646147139	1.744495642680751	7.164855988371192	11.739530197579231	3.6498858578672575	44.364986975830476	65.61321834061512	28.821852636942722	1.9097364657648306	12.835672849848143	3.2930535365827027	4.18363915446771	6.345323742739254	5.705694767512907	2.8985501437785937	30.73107579292389	4.263426754491852	11.142988832616506	1.0928592880137564	5.255745264585297	7.0246993821938855	10.36843805334733	3.3286161696671956	5.012641882487006	1.2477768187985991	49.05976254705356	4.396711986185433	10.183481532185935	5.091740766092967	30.87429376103253	14.068234070270147	2.899883480640874	2.8624099979098117	8.519065381307978	3.7511057124343736	13.165925015668675	9.897774374413517	41.77947957918278	2.5042274508344744	6.820304975738904	11.971508598834696	7.544165212714512	3.341455878791101	8.464842938636629	7.987419961725434	5.561945660849549	10.004828555794353	4.019625552183075	2.572732350098788	39.96801648323764	10.06793346005427	2.5555061980490072	4.8729102000494695	11.639088977351047	14.447470349321105	6.183718793814472	34.09978344975732
4x0	8.13425303932559	3.0236723131944427	30.942404812390773	7.083923560533344	2.9138641549349518	4.201022164480623	30.565713142261913	0.6424527097443942	2.4305608657956124	16.022185309807398	45.89007655471165	4.428316070924747	4.711656877636146	7.380443167788367	2.5326699200497598	1.987676792708268	13.897608234833966	2.0881431385007665	3.611157489027792	20.678599719454343	8.173543447291383	1.8316831791394845	6.195297205902427	4.206155418003609	5.70141095865378	41.04245303929782	9.986905021715575	1.3877924594157587	42.03751287489874	10.416603235993488	16.68029910229111	4.653115583489545	7.9182542489150896	53.63945379843308	9.594308303831196	19.90276003914752	30.841774966985213	6.886736347377349	9.927096042016126	14.730918503056877	5.226176314320552	1.6349408523354036	13.04567797739226	8.50681529302924	7.56222416096114	43.173114626012406	14.462166390818009	1.198322547882384	19.04080326510899	13.670307859601682	45.115656364300634	4.915250895440136	3.006023874618606	9.752205469569361	5.637908022855856	3.678083715227036	4.794813539696078	8.11412434508967	5.587279956374623	13.669702758229116	6.5885618504079435	3.222244810189915	14.286329032214745	42.30130988515653	1.116651930222629	2.6822108358094963	112.72793721333849	17.53049265255665	1.9159112037502228	5.222706148509767	4.652035770080121	6.527062206557592	6.288358256775815	120.29967508072077	1.5308687245293342	7.30402780462044	17.989336682013267	3.241061356540457	6.776874530800551	6.936340329679104	38.406457275065264	14.639330031942317	3.76790318261915	24.14999243274644	38.1164818436679	8.948862086387958	7.872825400647898	14.718463601861911	3.628366636693407	28.813740178984283	5.174851407076143	1.9334206548846555	30.11152947123469	11.076537338793083	5.120597957426591	4.486361684307219	8.603388863488941	1.5258676061184846	19.81828220100094	19.863192225575375
5x0	3.246175971321609	1.9738701959564393	4.276595052061809	6.506041170304296	1.1770022692117246	15.014435213324731	8.571429223704717	1.043701701306864	8.15849136273533	5.158594346561766	16.85438754115165	5.471193758279786	7.538761765721012	27.396107285731542	11.004980408932044	6.167751188396997	5.556879864283388	0.7864219278674438	8.484339832495692	7.523603555865507	31.138672012890673	3.5076502956941806	10.524319356723055	20.478824428100033	9.721945618968846	1.6646264413376692	10.175731588101483	6.180286303321285	5.022863866647328	97.43406936158834	4.260222979006117	3.596890948403568	3.3104383010388836	12.240592212047838	2.577902079551151	5.492828199707563	14.329588791250577	2.8294784913436852	7.060078072393818	18.933544325748343	7.824041889494899	3.9120209447474497	6.25156116599496	8.7956512984819	1.3310387177777558	7.267559658922691	7.347238549636069	3.48122987769046	3.6957979876954616	14.903687027872174	61.186261963042966	2.825301041947929	1.9652565423653265	10.746158078938493	1.470196004380984	5.779510634683155	81.24205176945183	7.838284706244328	7.236295988446008	5.307629200704344	13.271210289394638	3.050745615207713	8.11135453354553	22.194990330198706	1.3590106904549304	2.945020729850851	133.77920247688243	2.0744106263667184	2.385886561072138	8.11914268385384	2.707851579705229	1.7360532579106525	7.143937027852071	16.108536345296105	6.991989271126191	7.2425154215626355	15.698446914034614	3.7599462362565528	6.257988823905887	11.073659345933573	13.383070410246257	2.0593380758892046	5.969843427621174	23.406150355158754	33.72793947474653	8.221889640011746	28.813740178984283	1.9617848427352707	4.854786412057621	10.690985392847601	4.305582499354223	1.5119963263734648	2.4684972951588904	49.30547662258159	3.5174695027773	23.005711878896935	16.30249221008874	2.060723607277498	6.8280873138770914	7.598703232294318
6x0	2.687301102287381	2.589756814066359	6.625804839299229	17.331967160526514	6.7356547054277005	13.857750453900783	20.53289822884871	2.0258323375416945	3.523473608442298	4.174806805227456	7.048103217029787	4.77439540608551	3.1506769665413428	14.293147615119725	1.108286438575318	8.730143531079387	18.60958534931815	3.7929530401496514	21.39892972580255	16.242409156747737	44.06592100712292	6.165151096657121	30.74960678316705	25.89685009288672	3.5076502956941806	42.9134991885566	7.001695446080372	7.893720384177175	14.61743543146331	7.001695446080372	2.0450468847681194	10.151795623052976	2.88167379105923	8.231992007077423	3.6918770484681396	6.085351896705777	11.364655199804924	4.417434653424518	2.4263140119038424	37.23298458411979	11.426317021228401	15.00603751953197	13.451258412094408	7.906820669149514	1.5999894474463257	14.465258839870657	26.09135595478452	6.408795780779468	14.85892701628106	29.00172802027913	57.333660529466435	1.4239680639444856	15.744271722139459	67.96694320817875	3.600659394063767	14.129580813536846	6.908298383753274	7.572554191171543	11.169475152913204	12.69986428139589	23.746155526980417	3.1887186617339727	21.530388744837587	31.1346734255027	3.0793511206646267	2.182052753168474	5.166385617307488	2.9490241468609453	5.293352509847263	13.16834283735709	3.2324735668214735	1.8892748322545592	8.12929722191213	10.419535600018918	2.456459357872084	9.000701448368607	6.023934078020697	3.1845602220962563	13.983978542252382	22.305476087103816	3.783817612734066	2.9993101522558216	6.171653077566042	7.921613764611256	5.4066173483761055	6.061896316548362	8.237352303556818	9.590532611965907	6.712044388113604	9.87464895100678	3.8788884477579235	4.892483704917353	3.349188182443964	23.756838622476238	16.464110482805683	2.9568836028461316	145.46231974274386	11.929285055212446	5.753453557881401	62.165383599469
7x0	2.1331568727078967	16.38667869254552	2.6318507355988072	14.287879688155074	1.8687454887263772	10.299770343929705	8.540712451893654	1.1473218626055486	3.9201015094731115	23.9187357711629	7.884556820510351	2.0245383617378105	4.014665104028951	64.35576900380102	6.254100085324713	10.926050877924984	10.213947408396818	3.867913409801201	4.788568221009568	14.659777282266578	36.372738566555924	19.18104330316592	47.58613147839677	7.927275809637573	3.6691089426212478	6.280271233867129	21.487076540453725	1.602125284613352	18.175716570002585	41.21410802024232	2.5060670279573554	1.283845652185368	5.784070971775995	45.38587450117755	2.0578969258329853	2.9355190366722033	22.1068637665321	21.764878684558408	4.306045123542979	14.080875357244382	22.16043679056431	10.078668535727264	5.572291182177777	5.2265982956342665	2.771762986517457	8.429227965908614	26.869121934875444	21.586557313006203	5.893382003601409	11.087051946069828	24.2956406003693	1.0116491720572756	6.5835683522158694	61.153904369644685	1.8841483767720084	2.6612431395307965	12.334498068008196	1.6527527316178898	12.290097976868275	9.541571882636243	17.16325650306581	4.326012717258371	4.073727012120424	38.67867553007712	2.1846842520378806	15.56733671275135	30.221040514997142	6.766126924865044	31.668284477292584	63.066002368054356	1.9684972703404615	2.6939762435267656	10.997892827146769	18.445884571134012	7.834926177876462	7.686465754169196	37.87189499890656	3.5140354886197995	7.8036841808627395	3.936994540680923	3.0484218373753467	4.122954607908025	18.000385281832305	11.400219128980076	10.147855503122845	24.870201045778735	7.540919220521985	1.9948530658439736	3.56319786819084	12.156657857064392	3.275523274965897	9.52268704635765	62.12757107153727	8.389406516218852	4.0555561094190855	4.444784020178069	16.425552121788346	9.547359166701446	6.501880878078745	6.81587463702789
8x0	2.009527857796005	3.0052371636093684	13.581634172069853	5.332728053065025	2.546592340641041	4.837475536109642	11.11359748544356	2.3511904617614445	2.579297173280883	29.48379282419874	4.229333403267611	5.524428164699129	3.7618017779327535	26.743354122017028	2.615829834308109	3.3858496966965697	26.86953956787098	34.061025208867605	8.870989776539384	6.371456226005123	18.684946524715365	6.009385697756887	7.361161041270256	62.277344025781346	1.684750734625666	2.6594336601537862	14.40232054206198	2.2701278777950704	39.64461711297717	6.687201320536238	4.659284688954012	1.0409578407574602	4.400878752741128	23.423871528020065	19.208552041708167	4.868190391738022	12.669638682217762	1.1919582083357543	11.05343188326605	30.85052713673076	44.364986975830476	2.75263394168276	12.387563009280415	6.343082491730649	20.519038012288092	16.120304367542587	11.446858638476721	7.42946350814053	4.760641981066451	10.670544254329407	7.477797167974713	0.9826282711826633	4.951514296096771	4.499845509188653	5.47624778965995	8.173542375517254	5.418617176850182	5.96820859530731	7.528952667991115	5.695872255777942	5.3270468997455325	23.650354636050867	3.4935966718952978	20.517879158671548	12.000777246677297	2.1025856244383623	6.718315858319765	2.994878932201717	2.279598024479077	36.63489953454132	1.5694113765168198	6.991989271126191	3.9138145938799314	5.10120663958972	1.4857634018830652	14.203897274320699	12.834235856420634	1.7497698567084168	3.6726142285232437	75.65166751629168	4.269009660997628	12.51172530527979	3.116746306423596	131.49259245214193	7.779801544404057	4.808746244171881	9.083011695678406	2.850054782245019	7.852670414380605	4.625056181949746	3.272332481017269	7.0074506706853334	7.938730296176932	9.516792122469324	18.757025914982663	8.18823193737568	9.336884176734602	2.1397657012362994	4.194703258109426	11.759385999122077
9x0	2.579297173280883	3.0407429856813573	18.839532145252427	15.283922763503327	1.9352218718464604	17.03998151483757	8.61104818995662	11.726108543810057	1.9002827281220012	63.150584936659335	3.4303680659991738	3.534610757919812	14.402937206418928	44.02248875844294	17.595809296537173	20.56646361463725	5.439571010197435	2.9027428603037304	54.79571538023234	22.369674139851924	6.1635263352015235	1.0383576025330612	6.736993825339324	35.58435031983999	6.180286303321285	13.034970194544682	34.720395974585365	3.01482987415559	2.7755849188315174	15.272515510916929	6.851568655506555	5.891739383102353	8.024709317615315	50.67240557732167	9.41962828164495	6.16597550692946	22.150011333357405	2.8510399562514985	5.946960546648307	5.107778317888562	43.89817349450008	2.817056487881423	8.751321476923929	14.108314446982403	4.2226497902033495	21.86687146210355	11.668003472128563	4.198802828936095	25.709626539742874	33.4223971907216	17.489439353290155	11.353067517242854	7.396743870469695	14.01801885006678	2.0942641567729505	3.7058874736120018	57.643705273885445	2.2532043484232487	7.565081618228666	5.51572602326021	5.852578584581037	10.238649705730808	2.9163997333018985	6.823270549637959	1.1397990122395385	7.30236090656406	13.586291164918999	18.887355956677208	3.888560420065068	20.64400559002993	2.178184628772092	6.615171753849987	39.49797293271525	13.089542993709847	4.19897770186127	7.610429014344573	10.050012166433921	3.9018420904313698	2.028210814330481	18.406738351952807	5.380472996380744	4.466597679013419	2.1334822973073453	4.923301629804808	3.838419867258335	3.960806882305628	5.5603383336581516	2.9685485496038577	4.618055169172282	40.06287239139841	2.5532130846292427	9.195666690568553	25.608417119833028	13.000749586742039	3.6385218277154103	14.014901341370667	61.98819637583198	8.824400409984793	8.248633733900407	15.417058554136783
