	mob.tsv	average
Nrf1	0.45200000000000035	0.14707813525936458
Zbtb5	0.5640000000000004	0.22061720288904685
Ccnl1	0.5120000000000003	0.18647406434669433
Lrrfip1	0.5520000000000004	0.21273801707158088
Bbs1	0.45500000000000035	0.14904793171373107
Lix1	0.5170000000000003	0.18975705843730514
Whrn	0.4860000000000004	0.16940249507551816
Ate1	0.5240000000000004	0.1943532501641603
Ubac1	0.6050000000000004	0.24753775443205553
Rab34	0.5240000000000004	0.1943532501641603
Nap1l1	0.5490000000000004	0.2107682206172144
Srgap3	0.46800000000000036	0.1575837163493192
Slc1a3	0.5170000000000003	0.18975705843730514
Polr3k	0.4860000000000004	0.16940249507551816
Inpp5f	0.46100000000000035	0.15298752462246407
Ndufaf6	0.5550000000000004	0.21470781352594737
Atp5j2	0.4970000000000004	0.17662508207486197
Tnpo2	0.5630000000000004	0.2199606040709247
X2010300C02Rik	1.0979999999999899	0.5712409717662749
B3gat3	0.48000000000000037	0.1654629021667852
Commd5	0.5380000000000004	0.2035456336178706
Ints3	0.5150000000000003	0.18844386080106082
Rbm6	0.5270000000000004	0.1963230466185268
Rnpepl1	0.5900000000000004	0.23768877216022308
Sox2	0.5330000000000004	0.20026263952725978
Cbx5	0.43200000000000033	0.13394615889692132
Poldip3	0.6490000000000005	0.2764281024294307
Mapre1	0.4040000000000003	0.11556139198950074
Luc7l3	0.5460000000000004	0.20879842416284788
Pi4kb	0.5950000000000004	0.2409717662508339
Mink1	0.47100000000000036	0.15955351280368568
Resp18	0.4920000000000004	0.17334208798425113
Rnf10	0.3980000000000003	0.11162179908076776
Eef1a1	0.4840000000000004	0.16808929743927384
Mdfic	0.5000000000000003	0.17859487852922837
Rhbdf1	0.5680000000000004	0.2232435981615355
Zbtb14	0.5660000000000004	0.22193040052529117
Sh3gl2	0.6070000000000004	0.24885095206829985
Fam213a	0.4040000000000003	0.11556139198950074
Dbn1	0.6660000000000005	0.2875902823375075
Cldn5	0.5570000000000004	0.2160210111621917
Fam193b	0.5400000000000004	0.20485883125411491
Grik5	0.5180000000000003	0.19041365725542733
Pip5k1a	0.46900000000000036	0.15824031516744136
Sh3bgrl	0.45300000000000035	0.14773473407748675
Cwc25	0.5480000000000004	0.21011162179909224
Camkk1	0.6510000000000005	0.27774130006567505
Chn2	0.46800000000000036	0.1575837163493192
Dhh	0.32800000000000024	0.06565988181221633
Map3k11	0.5270000000000004	0.1963230466185268
Zmynd11	0.5200000000000004	0.19172685489167166
Snx13	0.5050000000000003	0.1818778726198392
Ptbp3	0.5160000000000003	0.18910045961918298
Secisbp2l	0.5680000000000004	0.2232435981615355
Fyco1	0.5590000000000004	0.217334208798436
Cox5b	0.5860000000000004	0.23506237688773443
Rnf181	0.47200000000000036	0.16021011162180784
Cyfip2	0.4900000000000004	0.1720288903480068
Sptssa	0.5190000000000003	0.1910702560735495
Pmepa1	0.6140000000000004	0.253447143795155
Pde4dip	0.47300000000000036	0.16086671043993003
Rhbdd3	0.47800000000000037	0.16414970453054087
Oxct1	0.4270000000000003	0.1306631648063105
Huwe1	0.5450000000000004	0.20814182534472572
Tcaim	0.4180000000000003	0.12475377544321103
Med13	0.4180000000000003	0.12475377544321103
Nlk	0.5010000000000003	0.17925147734735053
Atm	0.45500000000000035	0.14904793171373107
Sptan1	0.4940000000000004	0.17465528562049548
Zcchc11	0.46500000000000036	0.1556139198949527
Etv3	0.5340000000000004	0.20091923834538195
Tspan2	0.5420000000000004	0.20617202889035924
Fam160a2	0.5590000000000004	0.217334208798436
Zfyve20	0.45500000000000035	0.14904793171373107
Ctr9	0.43200000000000033	0.13394615889692132
Cers5	0.5200000000000004	0.19172685489167166
Scly	0.5530000000000004	0.21339461588970304
Fndc4	0.5330000000000004	0.20026263952725978
Kif1b	0.44400000000000034	0.1418253447143873
Polr2l	0.5520000000000004	0.21273801707158088
Vcpip1	0.6050000000000004	0.24753775443205553
Pcp4	1.0309999999999973	0.5272488509520948
Gnb2	0.47300000000000036	0.16086671043993003
Rapgef3	0.45100000000000035	0.14642153644124242
Sema3c	0.6330000000000005	0.26592252133947614
Tipin	0.5630000000000004	0.2199606040709247
Atp6v0d1	0.43300000000000033	0.1346027577150435
Gpr137b	0.44600000000000034	0.14313854235063161
X2310010J17Rik	0.5100000000000003	0.18516086671045
Slc3a2	0.48000000000000037	0.1654629021667852
Rbmx	0.5420000000000004	0.20617202889035924
Ube2a	0.4240000000000003	0.128693368351944
Man1b1	0.5420000000000004	0.20617202889035924
Ndel1	0.44100000000000034	0.13985554826002078
Cdk5	0.4980000000000004	0.17728168089298413
Arf4	0.6140000000000004	0.253447143795155
Lrfn4	0.6550000000000005	0.2803676953381637
Hist1h2ad	0.3730000000000003	0.09520682862771368
Dnajc4	0.5500000000000004	0.21142481943533656
Usp33	0.44400000000000034	0.1418253447143873
Tmem203	0.45400000000000035	0.1483913328956089
Mcfd2	0.5660000000000004	0.22193040052529117
Epha10	0.5780000000000004	0.22980958634275714
Slc9a3r2	0.4950000000000004	0.17531188443861764
Ahi1	0.6190000000000004	0.2567301378857658
Ap3b2	0.43800000000000033	0.1378857518056543
Tbx15	0.4030000000000003	0.11490479317137858
Aacs	0.4980000000000004	0.17728168089298413
Trim11	0.7520000000000006	0.34405778069601356
Snrnp70	0.6820000000000005	0.29809586342746214
Dock1	0.5440000000000004	0.20748522652660356
Eif4ebp2	0.4910000000000004	0.17268548916612897
Trpv2	0.47500000000000037	0.16217990807617436
Higd1a	0.4170000000000003	0.12409717662508887
Ngrn	0.5070000000000003	0.18319107025608353
Hspa1a	0.5260000000000004	0.19566644780040462
Sept8	0.5820000000000004	0.23243598161524578
Psme2	0.5480000000000004	0.21011162179909224
Utrn	0.5180000000000003	0.19041365725542733
Lsm3	0.6030000000000004	0.2462245567958112
Wbp1l	0.4020000000000003	0.11424819435325642
Gm10012	0.5890000000000004	0.23703217334210092
Fstl5	0.5570000000000004	0.2160210111621917
Pgap1	0.5900000000000004	0.23768877216022308
Pam	0.47800000000000037	0.16414970453054087
Arpc1a	0.46200000000000035	0.15364412344058623
Trmt11	0.4850000000000004	0.168745896257396
Gtf2h4	0.5290000000000004	0.1976362442547711
Mageh1	0.5100000000000003	0.18516086671045
Cdk14	0.5770000000000004	0.22915298752463495
Zmiz1	0.5030000000000003	0.18056467498359488
Ndufc1	0.47900000000000037	0.16480630334866303
