	family	native	name	p_value	source	intersection_size
1	0	GO:0007399	nervous system development	5.599152895090475e-06	GO:BP	30
2	0	GO:0050773	regulation of dendrite development	0.00011246193734423495	GO:BP	9
3	0	GO:0048666	neuron development	0.0002973933282210725	GO:BP	19
4	0	GO:0016358	dendrite development	0.00042574838488698545	GO:BP	10
5	0	GO:0048814	regulation of dendrite morphogenesis	0.0007653062685326671	GO:BP	7
6	0	GO:0048813	dendrite morphogenesis	0.0010036535040932326	GO:BP	8
7	0	GO:0010975	regulation of neuron projection development	0.0013196337582815614	GO:BP	13
8	0	GO:0031175	neuron projection development	0.0014279010163311702	GO:BP	17
9	0	GO:0048167	regulation of synaptic plasticity	0.0037504624134546104	GO:BP	8
10	0	GO:0030182	neuron differentiation	0.006152773249686445	GO:BP	19
11	0	GO:0120036	plasma membrane bounded cell projection organization	0.010641186972016095	GO:BP	19
12	0	GO:0050804	modulation of chemical synaptic transmission	0.011082188508472856	GO:BP	11
13	0	GO:0099177	regulation of trans-synaptic signaling	0.011292954005563223	GO:BP	11
14	0	GO:0030030	cell projection organization	0.015297966540258808	GO:BP	19
15	0	GO:0010769	regulation of cell morphogenesis involved in differentiation	0.01593286981957068	GO:BP	9
16	0	GO:0045664	regulation of neuron differentiation	0.01853190874684091	GO:BP	13
17	0	GO:0099004	calmodulin dependent kinase signaling pathway	0.022857130193536666	GO:BP	3
18	0	GO:0120035	regulation of plasma membrane bounded cell projection organization	0.022876575987492438	GO:BP	13
19	0	GO:0031344	regulation of cell projection organization	0.02625125947503756	GO:BP	13
20	0	GO:0051960	regulation of nervous system development	0.02912127417183305	GO:BP	15
21	0	GO:0048699	generation of neurons	0.03078890748490349	GO:BP	19
22	0	GO:0050808	synapse organization	0.03211875574115124	GO:BP	10
23	0	GO:0050767	regulation of neurogenesis	0.03668610870743363	GO:BP	14
24	0	GO:0098916	anterograde trans-synaptic signaling	0.03721867596451458	GO:BP	12
25	0	GO:0007268	chemical synaptic transmission	0.03721867596451458	GO:BP	12
26	0	GO:0099537	trans-synaptic signaling	0.041747061993511664	GO:BP	12
