	V1_Human_Lymph_Node_filtered_feature_bc_matrix	average
AL627309.1	0.21000000000000005	0.11656441717791406
AL669831.5	0.47000000000000025	0.2760736196319018
FAM87B	0.02	0.0
LINC00115	0.4100000000000002	0.23926380368098152
FAM41C	0.26000000000000006	0.1472392638036809
AL645608.3	0.02	0.0
AL645608.1	0.3200000000000001	0.18404907975460116
SAMD11	0.45000000000000023	0.263803680981595
NOC2L	0.6200000000000003	0.3680981595092024
KLHL17	0.5900000000000003	0.34969325153374226
PLEKHN1	0.18000000000000002	0.09815950920245393
PERM1	0.02	0.0
AL645608.8	0.3200000000000001	0.18404907975460116
HES4	0.6200000000000003	0.3680981595092024
ISG15	0.9000000000000006	0.5398773006134969
AGRN	0.5200000000000002	0.3067484662576686
C1orf159	0.5600000000000003	0.33128834355828213
LINC01342	0.15	0.07975460122699381
AL390719.2	0.02	0.0
TTLL10-AS1	0.02	0.0
TTLL10	0.060000000000000005	0.024539877300613484
TNFRSF18	0.5800000000000003	0.34355828220858886
TNFRSF4	0.6800000000000004	0.40490797546012264
SDF4	0.6500000000000004	0.3865030674846625
B3GALT6	0.5900000000000003	0.34969325153374226
C1QTNF12	0.3100000000000001	0.17791411042944777
AL162741.1	0.060000000000000005	0.024539877300613484
UBE2J2	0.6300000000000003	0.3742331288343557
SCNN1D	0.5100000000000002	0.30061349693251527
ACAP3	0.6300000000000003	0.3742331288343557
PUSL1	0.5500000000000003	0.32515337423312873
INTS11	0.6200000000000003	0.3680981595092024
CPTP	0.5900000000000003	0.34969325153374226
TAS1R3	0.4400000000000002	0.2576687116564417
DVL1	0.6100000000000003	0.361963190184049
MXRA8	0.49000000000000027	0.28834355828220853
AURKAIP1	0.6500000000000004	0.3865030674846625
CCNL2	0.6100000000000003	0.361963190184049
MRPL20	0.6600000000000004	0.39263803680981585
AL391244.3	0.4200000000000002	0.2453987730061349
ANKRD65	0.5600000000000003	0.33128834355828213
LINC01770	0.05	0.01840490797546011
VWA1	0.6600000000000004	0.39263803680981585
