	family
CXCL13	1
CR2	4
FDCSP	1
IGHG2	0
RGS13	4
LTF	1
VPREB3	1
SERPINE2	4
TCL1A	1
IGHA2	3
LRMP	1
HMCES	1
IGLL5	0
CXCL9	2
CCL18	1
IGHGP	0
SERPINE1	2
IL7R	2
CEMIP	2
CLEC4M	0
CCL2	2
RFTN1	1
STMN1	1
MARCO	2
NEIL1	1
STAB1	2
MYBL1	4
SIGLEC1	0
PTTG1	1
CXCL10	2
LMO2	1
GZMB	0
HMGB2	1
IGLC3	0
FCRLA	1
FCAMR	4
C1QB	2
CCL19	2
C1QA	2
LYVE1	0
EGFL7	2
CCL20	2
GCHFR	1
CSTA	1
GCSAM	1
CD209	0
TNFRSF13C	1
BANK1	1
ISG15	2
CD22	1
LINC00861	2
BASP1	1
C11orf96	2
SPIB	1
IGHD	1
TUBB4B	1
SERPINA9	4
CDCA7	1
AICDA	4
DEK	1
HOPX	1
UBE2J1	1
SPARCL1	2
CCR7	2
CD7	2
LEF1	2
ASB13	1
STAG3	1
TNC	2
CD19	1
GIMAP7	2
CD6	2
BCL6	1
ACKR1	2
ITGAX	2
FCER2	1
IL1B	2
IFITM1	2
IFITM3	2
LAT2	1
CD3E	2
FSCN1	2
LUM	2
TYMS	1
DCK	1
MARCKSL1	1
NR4A1	2
MYBL2	1
S1PR2	1
CD79B	1
GREM1	2
SWAP70	1
TGM2	2
TIMP1	2
MX1	2
RUBCNL	1
UBE2S	1
NUSAP1	1
SOD2	2
CLEC4G	0
