	melanoma.tsv	average
ANXA2	0.5360000000000004	0.3416506717850425
DNAH1	0.3990000000000003	0.2539987204094792
PPP6C	0.47700000000000037	0.3039027511196539
CCL19	0.5630000000000004	0.35892514395394914
H3F3B	0.47100000000000036	0.30006397952656355
HNRNPA3	0.47000000000000036	0.2994241842610485
EIF4ENIF1	0.3950000000000003	0.2514395393474189
PDE6D	0.44600000000000034	0.284069097888687
NUDC	0.43400000000000033	0.2763915547025063
RALY	0.3870000000000003	0.24632117722329844
RBM8A	0.5490000000000004	0.3499680102367383
CLEC2D	0.3830000000000003	0.2437619961612382
IGSF3	0.33100000000000024	0.21049264235445503
HMGB1	0.5560000000000004	0.3544465770953437
CD83	0.34100000000000025	0.21689059500960564
IFT46	0.44600000000000034	0.284069097888687
NDUFA1	0.5380000000000004	0.3429302623160726
MAP1B	0.3920000000000003	0.24952015355087373
PCCB	0.36300000000000027	0.23096609085093697
THUMPD1	0.34200000000000025	0.2175303902751207
LITAF	0.4020000000000003	0.25591810620602434
CX3CL1	0.6000000000000004	0.3825975687780064
TNPO1	0.5760000000000004	0.36724248240564494
NISCH	0.44600000000000034	0.284069097888687
ERP44	0.3920000000000003	0.24952015355087373
DAZAP2	0.6070000000000004	0.3870761356366118
RECQL5	0.35300000000000026	0.22456813819578636
COL7A1	0.35300000000000026	0.22456813819578636
NDRG1	0.8340000000000006	0.5323096609085306
HSD17B12	0.5080000000000003	0.3237364043506208
MARCKSL1	0.4120000000000003	0.262316058861175
PCNP	0.47500000000000037	0.3026231605886238
HMCN1	0.5140000000000003	0.32757517594371116
PLEKHA4	0.3870000000000003	0.24632117722329844
CECR1	0.5080000000000003	0.3237364043506208
YWHAQ	0.6760000000000005	0.431222008957151
SPATS2L	0.4050000000000003	0.25783749200256956
ARPC2	0.5210000000000004	0.3320537428023166
JAG1	0.43200000000000033	0.27511196417147615
VIM	0.4060000000000003	0.2584772872680846
ZBTB7A	0.47100000000000036	0.30006397952656355
COQ4	0.5620000000000004	0.3582853486884341
GPR4	0.33400000000000024	0.21241202815100022
MAPKAPK2	0.36400000000000027	0.23160588611645203
RNF213	0.5460000000000004	0.3480486244401931
KIF27	0.2830000000000002	0.1797824696097321
AKAP9	0.3980000000000003	0.2533589251439641
SNRNP70	0.3890000000000003	0.24760076775432854
ASS1	0.4100000000000003	0.2610364683301448
IDH3B	0.3850000000000003	0.2450415866922683
CABP4	0.2990000000000002	0.19001919385797306
GCN1L1	0.3760000000000003	0.23928342930263277
C1QC	0.46900000000000036	0.29878438899553345
LRRFIP1	0.6160000000000004	0.39283429302624734
APOBEC3G	0.35300000000000026	0.22456813819578636
PNPLA8	0.43400000000000033	0.2763915547025063
TAPBP	0.45900000000000035	0.2923864363403828
NECAP2	0.4220000000000003	0.26871401151632557
YWHAZ	0.6800000000000005	0.4337811900192113
ATP6V0A1	0.5480000000000004	0.34932821497122324
IGFBP7	0.8760000000000007	0.5591810620601632
RENBP	0.35200000000000026	0.2239283429302713
CHMP3	0.33300000000000024	0.21177223288548513
OGFRL1	0.33900000000000025	0.2156110044785755
TMEM121	0.5430000000000004	0.3461292386436479
GALNTL6	0.2610000000000002	0.16570697376840074
RBP4	0.11800000000000009	0.07421625079974706
RAB27A	0.34900000000000025	0.22200895713372612
AK5	0.2660000000000002	0.16890595009597606
GPX1	0.5650000000000004	0.36020473448497925
UCK2	0.4270000000000003	0.2719129878439009
TOR1AIP2	0.34600000000000025	0.22008957133718093
ACADVL	0.4890000000000004	0.31158029430583467
PSTPIP1	0.5670000000000004	0.36148432501600936
NAPRT	0.5220000000000004	0.33269353806783164
WDR1	0.5070000000000003	0.32309660908510573
C18orf25	0.3950000000000003	0.2514395393474189
NFATC4	0.36400000000000027	0.23160588611645203
MICA	0.3950000000000003	0.2514395393474189
TANGO6	0.4170000000000003	0.26551503518875025
SSBP1	0.5600000000000004	0.35700575815740393
CD1C	0.2860000000000002	0.18170185540627729
CD79A	0.7340000000000005	0.46833013435702453
MINOS1	0.4950000000000004	0.315419065898925
TNKS	0.32000000000000023	0.20345489443378934
ZC3HC1	0.46100000000000035	0.29366602687141297
NEAT1	0.5760000000000004	0.36724248240564494
SMIM1	0.3880000000000003	0.2469609724888135
BEX4	0.3990000000000003	0.2539987204094792
PFDN2	0.5040000000000003	0.3211772232885605
MAGED2	0.6210000000000004	0.39603326935382266
CHPF2	0.5230000000000004	0.3333333333333467
PITPNC1	0.44600000000000034	0.284069097888687
RSPO3	0.2900000000000002	0.18426103646833752
EIF4A1	0.3940000000000003	0.25079974408190386
FLJ20021	0.2890000000000002	0.18362124120282247
DPY19L4	0.47900000000000037	0.30518234165068403
UBFD1	0.3760000000000003	0.23928342930263277
LGALS1	0.44900000000000034	0.2859884836852322
AIF1	0.43900000000000033	0.2795905310300816
SOD2	0.46000000000000035	0.29302623160589786
COPB2	0.44300000000000034	0.28214971209214185
PHYKPL	0.3970000000000003	0.252719129878449
HERPUD2	0.3020000000000002	0.19193857965451824
PLAU	0.4170000000000003	0.26551503518875025
RGS14	0.36100000000000027	0.22968650031990684
MYSM1	0.33100000000000024	0.21049264235445503
RNASET2	1.5649999999999384	1.0
SYT15	0.18800000000000014	0.11900191938580132
GRN	0.5480000000000004	0.34932821497122324
UBE2D3	0.44000000000000034	0.2802303262955967
ALDOA	0.5240000000000004	0.33397312859886175
COL6A2	0.5400000000000004	0.3442098528471027
BRI3	0.48100000000000037	0.30646193218171414
STAT2	0.46600000000000036	0.29686500319898823
HEBP2	0.6100000000000004	0.38899552143315697
DOCK10	0.3760000000000003	0.23928342930263277
KLF10	0.44800000000000034	0.28534868841971717
STAB1	0.3800000000000003	0.241842610364693
PHF21A	0.4140000000000003	0.2635956493922051
NOVA1	0.34000000000000025	0.21625079974409056
HLA-B	0.5310000000000004	0.33845169545746717
FAM65B	0.5430000000000004	0.3461292386436479
PKD1P6	0.3820000000000003	0.24312220089572312
COX5B	0.5510000000000004	0.3512476007677684
TTC13	0.3740000000000003	0.23800383877160264
HOXC4	0.46000000000000035	0.29302623160589786
POM121	0.4180000000000003	0.2661548304542653
SAR1B	0.5030000000000003	0.32053742802304547
SMURF2	0.3940000000000003	0.25079974408190386
TNFRSF12A	0.4920000000000004	0.31349968010237983
CXXC1	0.3700000000000003	0.2354446577095424
WBP11	0.5330000000000004	0.3397312859884973
LINC01420	0.5050000000000003	0.3218170185540756
SH3GL1	0.46900000000000036	0.29878438899553345
SCAND1	0.45500000000000035	0.2898272552783226
SUN2	0.36200000000000027	0.23032629558542192
RAC2	0.5230000000000004	0.3333333333333467
RAP2A	0.44800000000000034	0.28534868841971717
CMTM3	0.3950000000000003	0.2514395393474189
QSER1	0.45500000000000035	0.2898272552783226
AP2M1	0.44800000000000034	0.28534868841971717
