	family
RNASET2 ENSG00000026297	0
MLANA ENSG00000120215	1
BCAN ENSG00000132692	1
DOK5 ENSG00000101134	1
COL1A1 ENSG00000108821	2
MCAM ENSG00000076706	1
MCOLN3 ENSG00000055732	1
RIPK4 ENSG00000183421	1
PMEL ENSG00000185664	1
RGS5 ENSG00000143248	1
FCRL1 ENSG00000163534	0
FMN1 ENSG00000248905	1
COL3A1 ENSG00000168542	2
MZB1 ENSG00000170476	2
GPM6B ENSG00000046653	1
IGFBP7 ENSG00000163453	2
VAV2 ENSG00000160293	0
CTSF ENSG00000174080	1
CORO1A ENSG00000102879	0
TTC8 ENSG00000165533	1
SLC6A8 ENSG00000130821	1
PYROXD2 ENSG00000119943	1
ANXA1 ENSG00000135046	1
NDRG1 ENSG00000104419	1
CCL18 ENSG00000275385	2
NPRL3 ENSG00000103148	0
MMP15 ENSG00000102996	1
IGLL5 ENSG00000254709	2
ZNF148 ENSG00000163848	0
ALDH1A3 ENSG00000184254	1
HSPA2 ENSG00000126803	1
RCC2 ENSG00000179051	0
IRS2 ENSG00000185950	1
TTL ENSG00000114999	1
IVNS1ABP ENSG00000116679	1
WEE1 ENSG00000166483	1
HMGA2 ENSG00000149948	1
ITPK1 ENSG00000100605	1
HLA-DMA ENSG00000204257	0
SHISA2 ENSG00000180730	1
UBA7 ENSG00000182179	0
PGK1 ENSG00000102144	1
HIPK2 ENSG00000064393	1
ITGB2 ENSG00000160255	0
MAGEA12 ENSG00000213401	1
COX6C ENSG00000164919	1
LMNA ENSG00000160789	1
ZFP36L1 ENSG00000185650	0
MS4A1 ENSG00000156738	0
MOK ENSG00000080823	1
SBNO2 ENSG00000064932	0
RAB10 ENSG00000084733	1
DCAF13 ENSG00000164934	1
SPRED1 ENSG00000166068	1
OLIG1 ENSG00000184221	1
EPHA2 ENSG00000142627	1
METTL9 ENSG00000197006	1
ITGA10 ENSG00000143127	1
SDC2 ENSG00000169439	1
NDN ENSG00000182636	1
F2R ENSG00000181104	1
CTSL ENSG00000135047	1
CD79A ENSG00000105369	0
IL16 ENSG00000172349	0
ERCC2 ENSG00000104884	1
GSTM3 ENSG00000134202	1
RAI14 ENSG00000039560	1
SUSD3 ENSG00000157303	0
COMP ENSG00000105664	2
SPI1 ENSG00000066336	0
ATP1A1 ENSG00000163399	1
CCL21 ENSG00000137077	0
DCT ENSG00000080166	1
CD22 ENSG00000012124	0
EMP1 ENSG00000134531	1
FXYD3 ENSG00000089356	1
HSPA1A ENSG00000204389	1
SLC7A8 ENSG00000092068	1
COL9A3 ENSG00000092758	1
EDNRB ENSG00000136160	1
CD52 ENSG00000169442	0
UQCC3 ENSG00000204922	1
EIF4B ENSG00000063046	0
DAD1 ENSG00000129562	1
PDCD11 ENSG00000148843	0
SPP1 ENSG00000118785	1
FAM107B ENSG00000065809	0
UBTF ENSG00000108312	0
PTTG1IP ENSG00000183255	1
SLC3A2 ENSG00000168003	1
LRRN4CL ENSG00000177363	1
DNAJB1 ENSG00000132002	1
ATP2A3 ENSG00000074370	0
MCC ENSG00000171444	1
FAM213B ENSG00000157870	1
PGLS ENSG00000130313	0
TMEM98 ENSG00000006042	1
RNF157 ENSG00000141576	1
MMP14 ENSG00000157227	1
CLASP2 ENSG00000163539	1
