	family
RNASET2	1
MLANA	0
BCAN	0
DOK5	0
COL1A1	2
MCAM	0
MCOLN3	0
RIPK4	0
PMEL	0
RGS5	0
FCRL1	1
FMN1	0
COL3A1	2
MZB1	3
GPM6B	0
IGFBP7	2
VAV2	1
CTSF	0
CORO1A	1
TTC8	0
SLC6A8	0
PYROXD2	0
ANXA1	0
NDRG1	0
CCL18	2
NPRL3	0
MMP15	0
ZNF148	2
IGLL5	3
ALDH1A3	0
HSPA2	0
RCC2	0
IRS2	0
TTL	0
IVNS1ABP	0
WEE1	0
HMGA2	0
ITPK1	0
SHISA2	0
HLA-DMA	1
UBA7	1
PGK1	0
HIPK2	0
ITGB2	1
MAGEA12	0
COX6C	0
LMNA	0
ZFP36L1	1
MS4A1	1
MOK	0
SBNO2	0
RAB10	0
DCAF13	0
SPRED1	0
OLIG1	0
EPHA2	0
METTL9	0
ITGA10	0
SDC2	0
F2R	0
CTSL	0
NDN	0
CD79A	1
IL16	1
ERCC2	1
GSTM3	0
RAI14	0
SUSD3	1
COMP	2
ATP1A1	0
SPI1	1
CCL21	1
DCT	0
CD22	1
EMP1	0
FXYD3	0
SLC7A8	0
HSPA1A	0
COL9A3	0
UQCC3	0
EDNRB	0
CD52	1
EIF4B	0
DAD1	0
FAM107B	1
PDCD11	1
SPP1	0
UBTF	1
PTTG1IP	0
LRRN4CL	0
SLC3A2	0
DNAJB1	0
ATP2A3	1
MCC	0
FAM213B	0
PGLS	1
TMEM98	0
MMP14	0
RNF157	0
CLASP2	0
IFT43	0
TYR	0
AP3S1	0
PPP2R4	0
MDM2	0
KCTD20	0
PDIA4	0
TSPAN7	0
SEMA3B	0
SEMA3C	0
GPR125	0
CLEC1A	0
UBE4B	0
MSRB1	0
SFRP1	0
DENND1C	1
CSK	1
CHMP1B	2
PTTG1	0
C6orf1	0
SH3BP4	0
SEMA3A	0
STX3	0
YWHAZ	0
AP3M2	0
CLSTN1	0
UCP2	1
R3HDM4	1
YWHAQ	0
REL	2
SERTAD2	0
SIT1	1
LAPTM5	1
SEMA3D	0
SPTBN1	0
MRPL55	1
SNRPA1	0
PEG10	0
TANC1	0
C11orf96	0
SEPT1	1
IGJ	3
CTBP2	0
RBFOX2	0
HMGN1	0
MORF4L1	0
PCED1B-AS1	1
PTPLAD1	0
FASN	0
PRKCSH	0
