	Rep11_MOB.st_mat.processed	average
Nrf1	0.45200000000000035	0.18353236957889085
Zbtb5	0.5640000000000004	0.25392834695161604
Ccnl1	0.5120000000000003	0.2212445003142793
Lrrfip1	0.5520000000000004	0.24638592080453833
Bbs1	0.45500000000000035	0.18541797611566027
Lix1	0.5170000000000003	0.2243871778755617
Whrn	0.4860000000000004	0.204902576995611
Ate1	0.5240000000000004	0.228786926461357
Ubac1	0.6050000000000004	0.27969830295413156
Rab34	0.5240000000000004	0.228786926461357
Nap1l1	0.5490000000000004	0.24450031426776891
Srgap3	0.46800000000000036	0.19358893777499445
Slc1a3	0.5170000000000003	0.2243871778755617
Polr3k	0.4860000000000004	0.204902576995611
Inpp5f	0.46100000000000035	0.18918918918919914
Ndufaf6	0.5550000000000004	0.24827152734130775
Atp5j2	0.4970000000000004	0.21181646763043224
Tnpo2	0.5630000000000004	0.2532998114393596
X2010300C02Rik	1.0979999999999899	0.589566310496567
B3gat3	0.48000000000000037	0.20113136392207218
Commd5	0.5380000000000004	0.23758642363294769
Ints3	0.5150000000000003	0.22313010685104873
Rbm6	0.5270000000000004	0.23067253299812646
Rnpepl1	0.5900000000000004	0.2702702702702844
Sox2	0.5330000000000004	0.2344437460716653
Cbx5	0.43200000000000033	0.17096165933376134
Poldip3	0.6490000000000005	0.3073538654934165
Mapre1	0.4040000000000003	0.15336266499058002
Luc7l3	0.5460000000000004	0.24261470773099947
Pi4kb	0.5950000000000004	0.2734129478315668
Mink1	0.47100000000000036	0.1954745443117639
Resp18	0.4920000000000004	0.20867379006914988
Rnf10	0.3980000000000003	0.14959145191704115
Eef1a1	0.4840000000000004	0.20364550597109807
Mdfic	0.5000000000000003	0.2137020741672016
Rhbdf1	0.5680000000000004	0.2564424890006419
Zfp605	0.3780000000000003	0.13702074167191164
Zbtb14	0.5660000000000004	0.255185417976129
Sh3gl2	0.6070000000000004	0.2809553739786445
Fam213a	0.4040000000000003	0.15336266499058002
Dbn1	0.6660000000000005	0.31803896920177654
Cldn5	0.5570000000000004	0.2495285983658207
Fam193b	0.5400000000000004	0.23884349465746063
Grik5	0.5180000000000003	0.22501571338781817
Pip5k1a	0.46900000000000036	0.19421747328725095
