	family
Gpsm1	0
Tubb2b	0
Ctxn1	0
Prokr2	1
Ncdn	0
Arhgap33	0
Nrgn	0
Kcnb2	0
Omp	0
Ppfia2	0
Jph4	0
Dpf1	0
Sox11	1
Gng4	0
Igsf3	0
S100a5	0
Rbfox3	0
Tmem158	0
Cacng3	0
Ankrd33b	0
Eef2k	0
X2010300C02Rik	0
Tyro3	0
Camk2n1	0
Stard10	0
Lamp5	0
Baiap2	0
Cpne4	0
Crtc1	0
Celf3	0
Nhsl2	0
Pip5k1c	0
Gpr153	0
Rasgef1a	0
Pcp4	0
Eif4e2	0
Icam5	0
Rap2a	0
Kcnd2	0
Asic2	0
Kcnj4	0
Limd2	0
Zfp282	0
AI848285	0
Ptn	0
Mast3	0
Nat8l	0
Add2	0
Ctxn3	0
Mag	0
Necab2	0
Ablim3	0
R3hdm4	0
C77370	0
Dlgap3	0
Bach2	0
Prrt4	0
Ypel5	0
Grasp	0
Psd3	0
Nrxn3	0
Junb	0
Gcn1l1	0
Chmp7	0
Gba2	0
Fam163b	0
Numbl	0
Camk4	0
Jph3	0
Ppp2r5d	0
Bcl7a	0
Camkk2	0
Fam131b	0
Cyth2	0
D1Ertd622e	0
Desi1	0
Chrm1	0
Rhcg	0
Arl4d	0
Fam5b	0
Tbpl1	0
Gfod1	0
Ccsap	0
Klf16	0
Rnf169	0
Ptprf	0
Syn1	0
Mbp	0
Kcnh3	0
Agap2	0
Mvk	0
Camk2a	0
Shroom2	0
Pcgf6	0
Camsap1	0
Trmt1	0
Fgf13	0
Naaa	1
Ralb	0
Lin7a	0
