	V1_Adult_Mouse_Brain_filtered_feature_bc_matrix	average
Xkr4	0.5000000000000002	0.03043753963221364
Gm1992	0.02	0.0
Sox17	0.5400000000000003	0.03297400126823144
Mrpl15	0.8100000000000005	0.05009511731135162
Lypla1	0.7100000000000004	0.04375396322130711
Gm37988	0.02	0.0
Tcea1	0.7900000000000005	0.04882688649334272
Rgs20	0.7200000000000004	0.044388078630311564
Atp6v1h	0.9100000000000006	0.056436271401396135
Oprk1	0.6100000000000003	0.0374128091312626
Npbwr1	0.3200000000000001	0.01902346227013352
Rb1cc1	0.7600000000000005	0.04692454026632937
4732440D04Rik	0.3100000000000001	0.01838934686112907
Alkal1	0.02	0.0
St18	0.7700000000000005	0.04755865567533382
Pcmtd1	0.8800000000000006	0.05453392517438278
Gm26901	0.35000000000000014	0.020925808497146876
Sntg1	0.6000000000000003	0.03677869372225815
Rrs1	0.7300000000000004	0.04502219403931602
Adhfe1	0.6800000000000004	0.04185161699429376
3110035E14Rik	2.399999999999993	0.15091946734305878
Mybl1	0.38000000000000017	0.022828154724160228
Vcpip1	0.8000000000000005	0.049461001902347174
1700034P13Rik	0.11999999999999998	0.006341154090044504
Sgk3	0.7100000000000004	0.04375396322130711
Mcmdc2	0.3200000000000001	0.01902346227013352
Snhg6	0.7900000000000005	0.04882688649334272
Tcf24	0.15	0.008243500317057856
Ppp1r42	0.3100000000000001	0.01838934686112907
Cops5	0.8400000000000005	0.05199746353836498
Cspp1	0.6300000000000003	0.0386810399492715
Arfgef1	0.7800000000000005	0.04819277108433827
Cpa6	0.13999999999999999	0.007609384908053405
Prex2	0.6700000000000004	0.04121750158528931
A830018L16Rik	1.0400000000000007	0.064679771718454
Sulf1	1.2500000000000009	0.07799619530754748
Slco5a1	0.2700000000000001	0.015852885225111267
Ncoa2	0.7200000000000004	0.044388078630311564
Gm29570	0.02	0.0
Tram1	0.7600000000000005	0.04692454026632937
Lactb2	0.6200000000000003	0.03804692454026705
Xkr9	0.02	0.0
Eya1	0.5700000000000003	0.0348763474952448
Gm9947	0.17	0.009511731135066759
Msc	0.4000000000000002	0.02409638554216913
Trpa1	0.08	0.003804692454026703
Kcnb2	0.7800000000000005	0.04819277108433827
Terf1	0.5600000000000003	0.034242232086240346
Sbspon	0.2800000000000001	0.016487000634115716
4930444P10Rik	0.3300000000000001	0.019657577679137974
Rdh10	0.7100000000000004	0.04375396322130711
Stau2	0.9600000000000006	0.05960684844641839
Ube2w	1.0300000000000007	0.06404565630944954
Eloc	0.8200000000000005	0.05072923272035607
Tmem70	1.0200000000000007	0.0634115409004451
Ly96	0.4400000000000002	0.026632847178186935
Jph1	0.7700000000000005	0.04755865567533382
Gdap1	0.9200000000000006	0.05707038681040059
Gm28784	0.12999999999999998	0.006975269499048954
Pi15	0.17	0.009511731135066759
Gm28154	0.09999999999999999	0.005072923272035603
Gm16070	0.11999999999999998	0.006341154090044504
Crispld1	0.4100000000000002	0.024730500951173583
Gm28153	0.02	0.0
Gm15825	0.22000000000000006	0.012682308180089015
Tfap2d	0.02	0.0
Tfap2b	0.03	0.0006341154090044504
