	family
Pmch	0
Prkcd	0
Hcrt	0
Tnnt1	0
Tcf7l2	0
Baiap3	0
Ctxn3	0
Slc17a7	0
Mal	0
Trf	0
Cldn11	0
Slc30a3	0
Tac1	0
Calb2	0
Nptxr	0
Mog	0
Slc17a6	0
Cbln1	0
Ugt8a	0
Mag	0
Ermn	0
Opalin	0
Spink8	0
Mobp	0
Fa2h	0
Ramp3	0
Tmem88b	0
Folr1	0
Pdlim2	0
Cabp7	0
Clic6	0
Nov	0
Penk	0
2900040C04Rik	0
Ecel1	0
Pcp4	0
Ttr	0
Cck	0
Itih3	0
Trbc2	0
Ddn	0
Tspan2	0
Gsn	0
Prr18	0
Nrn1	0
Cnp	0
Nrgn	0
Crym	0
Cd59a	0
3110035E14Rik	0
Plekhg1	0
Adora2a	0
Foxp2	0
Icam5	0
Stx1a	0
Neurod6	0
1500015O10Rik	0
Hpcal4	0
Ppp1r1b	0
Rims3	0
Lmo3	0
Stxbp6	0
Hs3st4	0
Itpka	0
Tbr1	0
Pde1a	0
Gpr88	0
Synpr	0
Cbln4	0
Sv2b	0
Arpp21	0
Wfs1	0
Sst	0
Gjb1	0
Snca	0
Kl	0
Synpo2	0
Ppp1r14a	0
Lypd6b	0
Apod	0
Npy	0
Lpar1	0
Litaf	0
Nr4a2	0
Calb1	0
Fxyd7	0
Prkcg	0
Gpr37	0
Ctxn1	0
Pnck	0
Ntng1	0
Zic1	0
Cpne6	0
Gad1	0
Tmem91	0
Atp2b4	0
Bhlhe22	0
Nrsn2	0
Plekhh1	0
Sept4	0
