"GSP1"	"COS1"	"GSP2"	"COS2"	"GSP3"	"COS3"	"GSP4"	"COS4"	"GSP5"	"COS5"	"combined_pvalue"	"adjusted_pvalue"
"Gng13"	2.98693075342813e-23	1.29420079418294e-06	8.97590171750556e-22	0.996905912373934	4.48773860921258e-12	0.987045169076904	4.90580359590588e-07	0.630402882231432	1.0979035766078e-05	3.51350164674576e-23	5.55e-17	4.42800083174185e-13
"Fabp7"	6.10993742350042e-34	6.48428133623182e-11	5.56665824124944e-30	0.999996213833884	1.44903284512625e-15	0.983849183420783	4.06249461818217e-08	0.294712866321246	1.82586775000211e-06	2.70558791125221e-30	5.55e-17	4.42800083174185e-13
"Apod"	1.00990102978963e-26	7.25652709921101e-11	2.59440516367397e-23	0.999179675460416	3.46811927900376e-11	0.960258426557062	8.58142227022273e-05	0.015830006026392	0.00111168791809686	3.15808627988452e-25	5.55e-17	4.42800083174185e-13
"S100a5"	1.871417673061e-26	5.20453332401799e-06	1.038468262717e-24	0.999795534568676	4.81065265606883e-15	0.917117739380445	3.08116404237453e-09	0.179399582374281	3.94652920498236e-07	1.00684180199898e-17	5.55e-17	4.42800083174185e-13
"Sepp1"	4.11534296475326e-25	7.94493102887941e-10	3.14861911800851e-23	0.989772937451461	6.87328727838225e-12	0.998152036841086	3.89424268029249e-06	0.474812582552376	9.73496836727353e-05	7.12393802570232e-28	5.55e-17	4.42800083174185e-13
"Apoe"	6.98233960606664e-32	1.13135431446087e-11	1.30382338983717e-28	0.99010974806097	8.72415323057451e-15	0.997808308089279	1.04126087365875e-07	0.535208635560784	9.44752020030794e-06	8.00419302534049e-33	5.55e-17	4.42800083174185e-13
"Omp"	6.53780464129273e-26	1.31500395225979e-06	2.36378817295631e-24	0.985421265844451	1.08971221432312e-14	0.975844393380292	4.94608325787209e-09	0.33775721130042	4.40595038720882e-07	1.27430424537267e-20	5.55e-17	4.42800083174185e-13
"Kif5b"	7.30113506883622e-25	1.97767597861716e-05	9.53960959712155e-22	0.996699797188515	2.08695418970876e-12	0.973896886027764	6.50785208613178e-08	0.0956423177893362	1.23040184685142e-06	2.80686069478384e-18	5.55e-17	4.42800083174185e-13
"Glul"	3.24657554417791e-22	7.2858112705065e-12	5.82122198659822e-19	0.981770238583829	1.07937247637585e-07	0.964135490315848	0.00644344639644639	0.299181344464973	0.0215590079605848	4.28149243646024e-29	5.55e-17	4.42800083174185e-13
"Sash1"	2.4185689322007e-21	1.90479362780882e-08	9.05446865961191e-20	0.929150512385319	1.35755829110442e-09	0.962834019464842	0.000369866253513186	0.541190484897889	0.00304442019832948	2.27031919315897e-21	5.55e-17	4.42800083174185e-13
"Sparcl1"	3.60211891199832e-23	5.19646290896841e-10	1.88716703950741e-18	0.997529189415874	1.65285230058494e-07	0.95630477570679	0.00241365966176689	0.00420401923082452	0.0194896321367736	1.09570832206233e-32	5.55e-17	4.42800083174185e-13
"Scd1"	3.97290867677433e-25	6.05023207082411e-07	8.14750467671757e-23	0.999835575974582	6.87462640522926e-13	0.858782409213907	2.1687190001715e-07	0.176180477067949	4.15684452431677e-06	1.03557178799392e-19	5.55e-17	4.42800083174185e-13
"Mcf2l"	4.82265640110898e-25	8.32855500140738e-05	1.66547475310775e-22	0.997859971368432	1.00691970561847e-13	0.919516804013835	5.28531014677602e-09	0.0432681281582052	3.84036930465502e-07	3.87163099179422e-19	5.55e-17	4.42800083174185e-13
