	average
Nrf1	0.9752309399777354
Zbtb5	0.9752309399777354
Bbs1	0.9752309399777354
Rab34	0.9752309399777354
Srgap3	0.9752309399777354
Polr3k	0.9752309399777354
Ndufaf6	0.9752309399777354
Tnpo2	0.9752309399777354
Ints3	0.9752309399777354
Rbm6	0.9752309399777354
Mapre1	0.9752309399777354
Pi4kb	0.9752309399777354
Mink1	0.9752309399777354
Rnf10	0.9752309399777354
Mdfic	0.9752309399777354
Fam193b	0.9752309399777354
Cwc25	0.9752309399777354
Camkk1	0.9752309399777354
Ptbp3	0.9752309399777354
Secisbp2l	0.9752309399777354
Pde4dip	0.9752309399777354
Huwe1	0.9752309399777354
Tcaim	0.9752309399777354
Med13	0.9752309399777354
Atm	0.9752309399777354
Zcchc11	0.9752309399777354
Tspan2	0.9752309399777354
Zfyve20	0.9752309399777354
Fndc4	0.9752309399777354
Polr2l	0.9752309399777354
Vcpip1	0.9752309399777354
Rapgef3	0.9752309399777354
Atp6v0d1	0.9752309399777354
Gpr137b	0.9752309399777354
2310010J17Rik	0.9752309399777354
Rbmx	0.9752309399777354
Ube2a	0.9752309399777354
Ndel1	0.9752309399777354
Cdk5	0.9752309399777354
Usp33	0.9752309399777354
Tbx15	0.9752309399777354
Aacs	0.9752309399777354
Trim11	0.9752309399777354
Eif4ebp2	0.9752309399777354
Ngrn	0.9752309399777354
Sept8	0.9752309399777354
Rps15a	0.9752309399777354
Lsm3	0.9752309399777354
Wbp1l	0.9752309399777354
Pgap1	0.9752309399777354
Pam	0.9752309399777354
Gtf2h4	0.9752309399777354
Mageh1	0.9752309399777354
Zmiz1	0.9752309399777354
Ttyh2	0.9752309399777354
Tpk1	0.9752309399777354
Cops8	0.9752309399777354
B230217C12Rik	0.9752309399777354
2410004B18Rik	0.9752309399777354
1600012H06Rik	0.9752309399777354
Gpatch2l	0.9752309399777354
Hnrnpul2	0.9752309399777354
Adamts15	0.9752309399777354
Brd4	0.9752309399777354
Itsn1	0.9752309399777354
Srcin1	0.9752309399777354
Tspan31	0.9752309399777354
Mark1	0.9752309399777354
Ccnh	0.9752309399777354
Tcerg1	0.9752309399777354
Chmp5	0.9752309399777354
Tada1	0.9752309399777354
