	average
Zbtb5	0.9753258566274823
Bbs1	0.9753258566274823
Whrn	0.9753258566274823
Polr3k	0.9426608678672093
Ndufaf6	0.9147707780719114
Cbx5	0.8572576646499287
Pi4kb	0.7972781656874504
Mdfic	0.9753258566274823
Rhbdf1	0.9753258566274823
Ptbp3	0.8543397756024915
Polr2l	0.6721170089804865
Vcpip1	0.878944475941788
Rapgef3	0.8765729214554636
X2310010J17Rik	0.9753258566274823
Slc3a2	0.9753258566274823
Tbx15	0.9753258566274823
Aacs	0.9753258566274823
Eif4ebp2	0.9753258566274823
Ngrn	0.8896900646496994
Sept8	0.9753258566274823
Utrn	0.9753258566274823
Pam	0.9753258566274823
Ttyh2	0.9753258566274823
Tpk1	0.9753258566274823
B230217C12Rik	0.9753258566274823
Gpatch2l	0.9203832774881106
Adamts15	0.9753258566274823
Slc2a1	0.9753258566274823
Brd4	0.877380421551662
Pyroxd2	0.9753258566274823
Tbp	0.8850457803711856
Pld1	0.9753258566274823
Tgfbr2	0.9753258566274823
Psmb10	0.813243529379262
Fancc	0.9753258566274823
Acbd5	0.9753258566274823
Vps26a	0.9753258566274823
Atg9a	0.7832832213029443
Cand2	0.9753258566274823
Scrib	0.9753258566274823
Xrcc6bp1	0.9753258566274823
Ccdc85a	0.9753258566274823
Dhps	0.9335789142711807
Itgb1	0.9753258566274823
Man2b1	0.9753258566274823
Pex13	0.9753258566274823
Rmnd5b	0.9753258566274823
Lmnb2	0.9753258566274823
Gemin5	0.9753258566274823
Slc39a1	0.8174889932447735
Srebf2	0.9700202825386814
Lrrc8a	0.9753258566274823
Flnb	0.9753258566274823
Rin2	0.9393950783044074
Lims2	0.9753258566274823
Siah1a	0.9753258566274823
Scarf2	0.9753258566274823
Maea	0.9753258566274823
Abhd4	0.9592855878466291
Wdr36	0.5992161597945347
Ms4a6c	0.9753258566274823
Gm7444	0.9753258566274823
Rock1	0.9753258566274823
Gpatch4	0.9753258566274823
Kcnip2	0.8174671790390801
Insm1	0.9753258566274823
Hist1h4d	0.9753258566274823
Smarce1	0.8684571089064558
Gpr17	0.9753258566274823
Zfp740	0.9753258566274823
Rcc2	0.9080410106557887
